"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"assessor_intercept[35,6]",-1.42942,0.08070195,1.51342,0.0702324313618723,0.71262715302393,NA,0.00432575198852358,0.6,27139,0.0277850847521496,1.00022752917392
"assessor_intercept[36,6]",-1.40008,0.0799903,1.56709,0.07235017360697,0.718915142044834,NA,0.00446159779218418,0.6,25964,0.0323589766735626,1.00015690555689
"assessor_intercept[37,6]",-1.40203,0.0773617,1.5589,0.0725561585107875,0.717326522679791,NA,0.00410117104637589,0.6,30593,0.0326386957215696,1.0000956024467
"assessor_intercept[38,6]",-1.37823,0.075837,1.59108,0.0690417393447625,0.717481512883862,NA,0.00454700655213112,0.6,24898,0.0343154332005197,1.00014922839519
"assessor_intercept[39,6]",-1.38568,0.078038,1.58526,0.0701768725439075,0.716785942054208,NA,0.00423980429120809,0.6,28582,0.0326972931980378,1.0001299966046
"assessor_intercept[40,6]",-0.659872,0.264634,1.06113,0.25156005997826,0.435266556043081,NA,0.00614642345970914,1.4,5015,0.190688115936578,1.00014639429744
"assessor_intercept[41,6]",-1.43114,0.075849,1.54112,0.066629687491925,0.718867198105438,NA,0.00436112761997386,0.6,27171,0.0296927786958361,1.00026659852452
"assessor_intercept[42,6]",-1.43571,0.0780214,1.53206,0.073387798792085,0.717719610303841,NA,0.00423270432439078,0.6,28752,0.0320386189649348,1.00034675084038
"assessor_intercept[1,7]",-1.91962,-0.4249855,0.99107,-0.420004240709232,0.704252842791252,NA,0.00409917971491638,0.6,29516,0.0262390268401562,1.00013361655318
"assessor_intercept[2,7]",-1.85802,-0.417613,1.09178,-0.415394218412,0.708596624749934,NA,0.00420427521431323,0.6,28406,0.0299385947592916,1.00018253576209
"assessor_intercept[3,7]",-1.8744,-0.4249535,1.0203,-0.424056900301727,0.699869040210763,NA,0.00423206431887641,0.6,27348,0.0303232697639015,1.00067039554998
"assessor_intercept[4,7]",-1.9212,-0.4270435,1.01785,-0.423070028081995,0.706897118169844,NA,0.00439507132012084,0.6,25869,0.028475427973463,1.00025941030002
"assessor_intercept[5,7]",-2.60165,-1.24396,-0.0256314,-1.27297919796027,0.744839151752288,NA,0.0269600861773262,3.6,763,0.692525245770483,1.00046562208927
"assessor_intercept[6,7]",-1.86427,-0.424372,1.07261,-0.424264484639993,0.706369971930757,NA,0.00431711214200682,0.6,26772,0.0238995224685713,1.0003378124242
"assessor_intercept[7,7]",-1.88011,-0.4248685,1.05695,-0.422066056156063,0.70536318178677,NA,0.0045131801760724,0.6,24426,0.0284018989152217,1.00019398388646
"assessor_intercept[8,7]",-1.88315,-0.4283525,1.07595,-0.427152633729495,0.708519486276027,NA,0.00445702843906623,0.6,25270,0.0282553066661077,1.00027636585346
"assessor_intercept[9,7]",-1.8747,-0.4222345,1.0485,-0.421864881176557,0.704457376449163,NA,0.00425442443795304,0.6,27417,0.0300119103075887,1.00027537408496
"assessor_intercept[10,7]",-1.89634,-0.427075,1.04364,-0.42746907770399,0.706804769598903,NA,0.00426457466499975,0.6,27469,0.0250360525546248,1.00029775425443
"assessor_intercept[11,7]",-1.8718,-0.4177645,1.07005,-0.416927430463145,0.706943763489613,NA,0.00436322917643109,0.6,26251,0.0299843130184176,1.00027806587997
"assessor_intercept[12,7]",-1.90582,-0.4206195,1.02465,-0.417483377370575,0.707877081511883,NA,0.00431616363410138,0.6,26898,0.0288297565270267,1.00023372180135
"assessor_intercept[13,7]",-1.21302,-0.4000415,0.484137,-0.387016034227138,0.42072856644338,NA,0.00470405170729019,1.1,7999,0.145941042620725,1.00136782460795
"assessor_intercept[14,7]",-1.82732,-0.4311205,1.09589,-0.424566353698675,0.705057640488104,NA,0.00441515072253821,0.6,25501,0.027227890507993,1.0001776526606
"assessor_intercept[15,7]",-1.81506,-0.8664295,0.120422,-0.868609078580675,0.524616225511418,NA,0.0145875527276531,2.8,1293,0.440331927053114,1.00065142951673
"assessor_intercept[16,7]",-1.98342,-0.424531,0.983747,-0.425252491253145,0.708379014778074,NA,0.0042464860230891,0.6,27827,0.0314174534443668,1.00030718237216
"assessor_intercept[17,7]",-1.88928,-0.4233625,1.04991,-0.425204234873905,0.709119608653124,NA,0.0044251749903349,0.6,25679,0.0287421368441155,1.00055757754122
"assessor_intercept[18,7]",-1.88904,-0.4219525,1.0295,-0.422461783583298,0.702622726697456,NA,0.00429607315454491,0.6,26749,0.0304250060019091,1.00046402463316
"assessor_intercept[19,7]",-1.93313,-0.425242,1.00747,-0.422457923842,0.707426732759613,NA,0.00433558103920343,0.6,26624,0.0238720774335835,1.00038373307183
"assessor_intercept[20,7]",-1.87113,-0.426627,1.03603,-0.42309188471104,0.702737959997674,NA,0.00421495858101746,0.6,27797,0.0280958511840065,1.00047990727562
"assessor_intercept[21,7]",-1.9392,-0.4224255,1.01515,-0.421312069435803,0.710518332264534,NA,0.00428028005054751,0.6,27555,0.0317542053737591,1.00025863997885
"assessor_intercept[22,7]",-0.815915,0.3377215,1.66916,0.378327614401773,0.719245327253864,NA,0.0243852835238485,3.4,870,0.671666819463932,1.00126329222566
