"reviewer_id","n_reviews","mean_overall_grade","sd_overall_grade","minimum_overall_grade","maximum_overall_grade","mean_criterion_average"
"R02",12,3.66666666666667,1.07308673997732,2,5,3.54166666666667
"R07",12,3.25,0.866025403784439,2,5,3.27083333333333
"R03",10,3.7,0.948683298050514,2,5,3.875
"R04",10,3.5,0.707106781186548,3,5,3.95
"R09",10,3.3,0.674948557710553,3,5,3.2
"R05",9,3.44444444444444,0.881917103688197,2,5,3.30555555555556
"R06",8,2.875,1.24642345475822,1,5,3.4375
"R08",7,4.14285714285714,1.21498579258791,2,5,4
"R01",6,3.5,0.836660026534076,2,4,3.54166666666667
