"statistic","observed","replicated_mean","replicated_median","replicated_q025","replicated_q975","probability_rep_ge_observed"
"Mean absolute disagreement",1.0952380952381,1.06432132896932,1.05592266272101,0.789891151890246,1.38572945810606,0.4014
"Median absolute disagreement",1,0.905541589217098,0.896685816340305,0.594468266258157,1.27535564163822,0.285
"90th percentile of disagreement",2,2.12670741326679,2.10139399649779,1.54308949316039,2.83270132869837,0.6284
"Maximum disagreement",3,3.27484413409415,3.2010020684016,2.22145395736009,4.76157894212691,0.6248
"Proportion with disagreement >= 2",0.30952380952381,0.133604761904762,0.119047619047619,0.0238095238095238,0.261904761904762,0.0088
"Proportion with disagreement >= 3",0.0238095238095238,0.0259714285714286,0.0238095238095238,0,0.0952380952380952,0.6248
