"quantity","posterior_mean","posterior_median","q025","q975","observed_reference"
"Simulated posterior predictive mean disagreement",1.06432132896932,1.05592266272101,0.789891151890246,1.38572945810606,1.0952380952381
"Analytic V1 expected mean disagreement",1.06584764905356,1.06103176187165,0.897654120331206,1.26402502406928,1.0952380952381
"Expected mean disagreement with reviewer effects set equal",1.04334857567955,1.03983525385353,0.875095957622585,1.23827511722165,1.0952380952381
"Increase from fitted reviewer-effect differences",0.022499073374008,0.0117207972892525,2.44648672077658e-05,0.101872458787565,1.0952380952381
