"model","max_psrf","worst_psrf_parameter","min_effective_sample_size","worst_ess_parameter"
"V1 overall grade",1.00172139669964,"tau_proposal",1627,"tau_proposal"
"V1 criterion average",1.00315058218024,"tau_proposal",1863,"tau_proposal"
