"model","component","posterior_mean","posterior_median","q025","q975"
"Baseline Uniform(0,2)","Proposal",0.0778141748456537,0.0502955325446908,0.000157987248526899,0.289428198728262
"Baseline Uniform(0,2)","Reviewer",0.0509572997076254,0.0259979589073352,7.41566762392714e-05,0.240128794898722
"Baseline Uniform(0,2)","Residual",0.871228525446721,0.896056717696633,0.61547464738126,0.995277212084637
"Half-normal(0,1)","Proposal",0.0746846679701874,0.0461348611372722,7.83356611235719e-05,0.285882390788551
"Half-normal(0,1)","Reviewer",0.0485321398162938,0.0253823343748416,8.00037338689574e-05,0.224615829723822
"Half-normal(0,1)","Residual",0.876783192213519,0.902080680868984,0.625327213884136,0.995786988750171
