"model","parameter","posterior_mean","posterior_median","q025","q975"
"Baseline Uniform(0,2)","tau_proposal",0.23660840432068,0.220453,0.012336745,0.56165235
"Half-normal(0,1)","tau_proposal",0.22683524436605,0.209047,0.00855948075,0.556195325
"Baseline Uniform(0,2)","tau_assessor",0.185647299579251,0.156952,0.0084143805,0.532988725
"Half-normal(0,1)","tau_assessor",0.18057023489082,0.1544735,0.008627745,0.50724955
"Baseline Uniform(0,2)","sigma",0.923313415615,0.919555,0.77122,1.09676025
"Half-normal(0,1)","sigma",0.919310697515,0.9159045,0.76859095,1.08876025
