"model","max_psrf","worst_psrf_parameter","min_effective_sample_size","worst_ess_parameter"
"V0 Heyard reference",1.00772917283195,"proposal_intercept[35]",501,"tau_assessor"
"V1 cross-classified",1.00172139669964,"tau_proposal",1627,"tau_proposal"
